COMPANY_NAME,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
OSRAM SYLVANIA INC,3705643.8,4465818.69,4627780.27,4472231.33,4370625.81,5161444.7,2721426.92,2431899.72,2553216.69,2920795.45,2551839.67
KOMATSU AMERICA CORP.,4094689.91,3409603.99,3330372.69,3921409.71,4012224.28,3281577.04,3830651.6,3830596.08,4767695.59,3635326.51,4562628.33
"SPIRIT AEROSYSTEMS, INC",3674036.06,4439734.9,4143174.14,3816074.64,3360089.98,3686091.01,4206520.82,4140538.94,2981822.77,2815695.6,2980807.75
"DUNKIN BRANDS, INC.",3400774.23,4504999.07,3761632.39,3926377.67,3383865.32,4059762.69,3723044.07,4241232.66,3397442.58,4444606.15,3952194.89
"HUNT COMPANIES, INC",2478607.9,3820017.45,3172365.78,3566442.37,3627514.03,4808701.91,4531742.6,4307284.41,4081236.66,4858262.83,4650490.67
"INTERACTIVE INTELLIGENCE, INC.",3569322.49,4300058.03,3973480.06,4427751.59,3572719.39,3998971.08,3387739.37,3960034.31,3187993.33,4053167.18,1256236.15
AMERICAN GREETINGS CORPORATION,3606000.22,3635283.85,3975918.49,3711450.61,4199662.34,3818896.17,3319297.86,4009742.99,4028893.88,3246693.2,3278643.04
YARDI SYSTEMS,2773248.29,3737609.12,3124078.05,3902866.36,3473145.84,4807002.48,3970321.71,4475211.74,3913655.61,4771451.45,4356750.83
MERCEDES-BENZ-AUSTRALIA/PACIFIC PTY. LTD.,5816584.58,5447707.4,4558059.11,4468395.97,3271300.08,2381459.01,2742536.46,2780278.64,2648487.67,3538469.18,3099866.47
QANTAS AIRWAYS LIMITED,2813316.7,3449094.89,3350707.57,3935553.82,3379352.04,3944986.05,4535204.82,5406285.48,3298285.72,3968494.61,4098378.85
AMSTED INDUSTRIES INCORPORATED,3318984.63,4263623.82,4604930.26,4052124.43,3799624.97,3601099.58,3754726.56,3456984.42,3194563.64,3453255.3,3760792.08
NOBLE GROUP LIMITED GLOBAL,5584721.19,5830191.57,4489867.13,4474508.23,2231553.37,2920912.32,2692576.06,3002909.42,2795109.62,2247297.33,1337406.79
"BLUELINE RENTAL, LLC",4677155.34,4278663.88,3902154.87,3755174.83,3484865.4,3697907.73,3618301.46,3296353.22,3297315.31,3507907.53,3417416.88
"ORANGE BUSINESS SERVICES U.S., INC.",4214701.24,3612694.32,2857102.64,3646918.83,3665509.67,3851606.63,3516142.43,4465955.89,4142604.4,3567398.64,2337318.04
K & L GATES LLP,3827132.28,4285285.76,3453063.04,3756374,3688873.63,3964981.68,3445981.13,3826966.36,3659474.68,4227384.06,3467723.94
"MUELLER WATER PRODUCTS, INC.",3148916.67,3477845.79,3513111.52,3172066.92,3175303.87,3753808.73,4619585.49,4472413.08,4523647.14,4604369.69,4397690.1
WASSERMAN MEDIA LLC,3203038.99,2824251.41,3112414.78,3978938.86,3565351.99,3713673.05,4353114.2,4921540.07,4137987.97,4552784.67,4873381.29
CHOICE HOTELS INTERNATIONAL INC.,3336845.67,4321093.52,3483072.71,3705969.21,3805459.29,4584940.81,3524545.19,3534830.79,3501722.22,4495442.29,3624056.05
STANDARD INSURANCE COMPANY,2786463.17,4042110.86,3275111.16,4165096.94,3069411.89,4059218.93,4291031.97,4670276.15,3420630.77,4970512.78,3595842.85
"HEALOGICS, INC.",2955947.65,3500431.37,3882065.54,4011233.25,3914340.47,3427874.05,4294476.33,3967488.99,3822391.69,3213006.69,3536218.32
FERRIS STATE UNIVERSITY,3774461.47,4740579.96,3253050.72,4403646.66,3203596,4656867.31,3045421.97,3407790.41,3263943.71,4183546.23,2666909.27
SIKA SERVICES AG,3047833.85,3226856.76,3413917.54,3432023.81,3510674.54,3932884.92,3832948.55,5116190.35,4139528.38,5224232.77,6133801.39
DAIMLER GREATER CHINA LIMITED,2960763.16,4221158.93,4185830.63,4074371.37,2077504.34,2570597.23,2787034.5,6279385.54,4445352.95,6645634.8,6788220.51
TAC AMERICAS INC (AKA SCHNEIDER ELECTRONIC),3211569.69,3686643.42,3756416.67,3930894.03,3554584.62,3806774.29,3899829.74,3816409.13,3937155.3,3830033.35,3711083.43
"RYAN SPECIALTY GROUP, LLC",3087339.32,4063475.38,3438256.76,3462827.61,3696648.39,3989618.44,3769169.41,4198520.61,3887707.02,4040944.59,4639216.3
"ALIGN TECHNOLOGY, INC.",2633090.78,3430982.15,3174789.58,3136298.44,3361918.46,3706035.36,4369957.04,4877795.34,4892679.2,6582893.84,5730563.72
COMPAGNIE EUROPEENNE D’ACCUMULATEURS (EXIDE EUROPE),3608909.57,3409387.59,3310289.26,3681383.36,3654248.72,3850892.52,3559621.77,4362031.92,4110203.52,3814081.95,3681558.88
BRIGHT HORIZONS FAMILY SOLUTIONS LLC.,2730199.58,4107232.75,3620332.08,4254871.43,3315113.35,4321964.81,3754683.52,4131093.67,3310367.3,4319658.75,3960952.35
"TOSHIBA AMERICA, INC.",4128201.89,4430225.94,4371419.17,4442927.84,3847459.03,3321108.45,2979304.87,2834822.46,3186498.91,2899007.02,3118816
SIRIUS XM RADIO INC.,3250948.77,3889688.38,3108023.58,3853851.22,3459057.93,3899644.24,3717996,4328957.5,4025028.84,4554287.37,4059191.3
NORDSON CORPORATION,3436131.83,4079899.65,3560352.97,3400521.62,3558714.17,3645683.04,3584325.87,4234785.54,3975736.11,4183751.62,4292199.33
VIDEOJET TECHNOLOGIES INC.,3301606.67,3544346.07,3732748.3,4066389.92,3335005.36,3624894.52,3630858.78,4671745.71,3564434.8,4045638.01,3045587.69
UNITED LAUNCH ALLIANCE,3161498.56,3455185.91,3596929.82,4076259.94,3329575.1,3978515.72,4086714.14,4209729.31,3514672.19,4731843.59,4808229.88
SPECTRANETICS CORPORATION,3719303.81,4578109.52,4021990.84,4085030.63,3416415.2,3512010.3,3303364.47,3564716.47,3170415.01,3876574.77,3918826.58
"ALLIANZ GLOBAL RISKS US INSURANCE COMPANY, DBA ALLIANZ GLOBAL CORPORATE AND SPECIALTY (AGCS)",2199539.91,2720566.12,3426464.61,4160983.22,3887881.34,4364143.83,3929847.49,4794254.04,3874464.22,4400204.2,4341109.47
POLARIS INDUSTRIES INC.,3293378.88,3534915.57,3509741.6,4211820.05,3142947.53,3578269.18,3554098.27,4288318.84,4189964.19,4413555.78,4749301.03
"PENGUIN RANDOM HOUSE, LLC",1297158.46,3349484.33,4468800.85,4794287.14,4144789.21,4282193.74,3516204.15,3741160.41,3609617.75,4154923.55,3578635.92
"AUTONATION, INC.",3340605.88,3719247.96,3488440.43,3974108.34,3586849.14,3330950.26,3696148.46,3907534.11,3954278.83,3802421.06,3831883.55
SERVICE KING COLLISION REPAIR CENTERS,3503725.07,3472264.86,3289798.66,3399836.76,3692010.29,3482680.32,3788469.14,3718532.31,4515417.11,4181054.58,3983940.55
"TRIMEDX HOLDINGS, LLC",2663740.67,2996874.84,3530545.85,2892073.91,3592598.88,4108571.5,4475508.95,4210285.63,4369945.46,3110366.63,3091410.03
"HEARTLAND PAYMENT SYSTEMS, INC.",3412582.72,3530594.32,3706744.08,3744928.03,3895216.76,3769118.11,3364439.17,3697985.45,3699876.46,4239011.05,4086086.26
SANTA CLARA UNIVERSITY,2920347.86,4722567.86,3223980.12,3706636.87,3600150.72,4742717.33,2830949.31,3632554.88,3429343.77,4427195.26,2787000.03
SARGENT MANUFACTURING COMPANY INC,2876356.09,3765921.18,3472237.58,4021999.27,3372542.52,3931413.96,3621948.15,4276474.57,3466824.42,4096063.01,3860554.13
MARK ANTHONY GROUP INC.,3772224.89,3919983.46,3730127.15,4228533.79,3105453.57,3313058.69,3577882.95,3687484.28,3431956.15,3887953.45,4361184.3
FUJI XEROX ASIA PACIFIC PTE LTD,3942610.55,3734681.17,4119394.07,4026268.58,3551264.58,3546634.56,3422006.34,3338048.26,3080888.01,2692378.08,2978758.39
BMW BRILLIANCE AUTOMOTIVE LTD.,3227968.69,4294985.28,3668506.91,4525686.45,2545588.88,3235522.03,3120072.26,4499661.98,3591247.67,4187593.23,4407959.66
CALIFORNIA PHYSICIANS SERVICE,3415893.27,5240949.75,3595187.35,4635311.82,2762990.52,3324895.27,2866395.75,4088022.48,2740811.31,3810468.36,3488131.26
SYNAPTICS INCORPORATED,1328936.54,4652677.07,4360898.67,3974912.43,3989251.09,3954941.74,3280521.02,3745880.4,3377831.67,4095590.14,3674962.15
JACKSON LEWIS P.C.,3162263.85,3584250.41,3001541.65,3503622.86,3700067.06,4033237.07,3439439.94,3997080.12,4227982.2,4031701.89,3261231.91
"VAIL RESORTS, INC.",3056145.03,2262253.13,2553376.26,3782593.27,4190509.76,3489791.5,4370963.51,4483615.6,4444152.71,3811538.87,3949835.41
WEST CORPORATION,4082474.6,4069910.03,3333861.17,3635289.78,3219466.02,3837599.31,3464567.44,3673436.1,3279482.4,3644162.59,3075878.77
"FINANCIAL INDUSTRY REGULATORY AUTHORITY, INC.",2884030.76,4216645.52,3718223.63,4505768.22,2913408.18,4217650.74,3951234.12,3826946.22,2347962.58,3397807.38,2990681.47
PUBLIC COMPANY ACCOUNTING OVERSIGHT BOARD,2157831.83,4736429.62,4723548.34,5184323.07,2219904.16,4507111.04,4431920.13,3242011.72,1364205.98,3914874.46,3617637.95
"NEW NGC, INC",2938609.41,3813430.08,3472816.35,3965257.56,3402335.37,3832555.34,3692795.42,3763629.42,3649210.4,4037433.78,3832028.9
CALTEX AUSTRALIA PETROLEUM PTY LTD,3318472.21,3870004.08,3980126.69,4174408.5,2916192.12,3817368.81,3732731.6,3787637.38,2812559.77,3260907.29,2704837.86
"WRIGHT MEDICAL TECHNOLOGY, INC.",2844710.79,3167896.55,2799710.2,2926080.08,3609502.3,4250662.36,4470753.37,4187220.18,4112942.07,4828883.03,4977949.08
IXIA,2470921.09,3043601.22,2921178.7,3903163.47,4087382.83,4446237.11,3932527.8,3516472.28,4041968.82,4445973.35,3860870.21
IMAGINE COMMUNICATIONS CORP,5601076.47,5298279.16,4714226.5,3872559.95,2596134.38,3128778.51,2347224.39,2136095.35,2662963.81,2827982.79,2328161.45
AVANIR PHARMACEUTICALS INC.,3159873.64,3175377.89,3017022.79,3450968.28,3086582.54,3867374.88,4068331.25,4729854.74,3739337.65,4566619.79,4145555.48
"BRACCO DIAGNOSTICS, INC.",3489315.46,3655156.89,3221518.14,3776987.48,3733555.84,4009966.95,3317782.08,3576165.14,3504614.95,3760794.07,3019374.35
"MORNINGSTAR, INC",2747154.57,3534898.05,3431651.79,4337254.5,3156115.17,3861241.28,3514736.85,4514578.85,3151872.9,4111907.63,3354343.38
TABLEAU SOFTWARE INC.,2511124.31,3961662.28,3953035.74,4308605.97,3438844.18,4245245.29,3662067.28,3294672.59,2860347.83,4680137.93,4587593.85
PERELLA WEINBERG PARTNERS LP,3564004.56,3575673.89,3768740.92,4232354.66,3155060.58,3331988.03,2972669.9,4286653.22,3259122.02,3148023.03,2855371.29
"PHARMAVITE, LLC",3367339.46,3382142.59,3483501.62,3945140.84,3072335.97,3236296.37,3685708.46,4232442.96,3684842.44,4133678.52,4695620.69
AGFA HEALTHCARE CORPORATION,2679316.94,3458835.79,3452033.21,4413922.74,2886682.14,3798521.73,3703845.84,4581705.84,3087314.02,4297034.59,3937748.99
"FOOT LOCKER, INC. - CTE",3057514.75,3502506.31,3390907.33,3804734.89,3380094.05,3790908.36,3604754.64,3938553.05,3575393.65,3509429.31,2863165.57
ONEMAIN GENERAL SERVICES CORPORATION,2540837.62,2929304.36,2670514.5,3469757.59,5078552.57,4663994.78,4050261.88,3261337.16,3287936.9,3074261.84,2447964.72
THE CHILDRENS HOSPITAL OF PHILADELPHIA,2664384.21,4371679.69,2228681.51,3870903.59,3183241.12,4955188.13,2745281.98,4474748.53,3431296.5,5586085.15,2890539.48
"KNOLL, INC.",2827686.17,3852697.52,3132227.58,3875331.17,3275347.73,3974489.23,3581145.47,4282135.49,3040693.3,3858828.64,3613421.65
"HARBOR FREIGHT TOOLS USA, INC.",2744710.29,4384211.99,3829046.95,3412535.46,3315511.35,3322346.41,3469112.44,3586168.75,3764060.74,4088005.35,4349162.17
"BROADSOFT, INC",2496159.71,3313454.61,3286900.58,3736698.25,3213411.9,4004523.39,3905918.6,4400195.15,3440153.54,4136511.1,3195319.92
"CALIBER FUNDING, LLC",1663873.03,2152416.59,2529955.26,3644046.04,3424096.55,3831884.85,4332720.96,5399295.17,4777719.15,6287087.39,4994200.36
"KRONES, INC",2721692.04,3316528.55,3400118.36,3682933.91,3238867.23,3644613.56,3730886.98,4283859.21,3698987.81,4235584.77,4559465.95
"CNO SERVICES, LLC",3786231.95,3930412.5,3941217.1,4147081.06,3241188.44,3357216.92,3085935.31,3448721.96,2711120.42,2869049.17,2553660.64
DOMINION ENTERPRISES,3329567.81,3314980.95,3351736.98,3949433.3,3115857.89,3605608.51,3579754.75,4269127.97,3069713.62,3300223.74,3467312.54
"ULTA, INC.",2679858.62,2668327.18,3066905.66,3870991.25,3081526.99,3739747.69,3661480,4485900.18,4318292.85,5879850.39,4686970.67
GALDERMA SA,3392350.28,3061736.34,2828125.47,3794920.6,3028713.5,4662414.25,3291911.56,4016369.19,3369638.44,3956762.19,3009972.61
"SAGE PUBLICATIONS, INC.",2211900.79,3093774.55,3185700.25,3614465.12,3638460.71,3625419.41,4151642.56,4104911.41,3782582.17,4058696.86,3959277.11
"MERKLE, INC",2629471.21,3362150.18,3608675.93,3966164.47,2995998.88,3522409.57,3110338.97,4501699.23,3693087.43,4378541.18,3365378.8
"HYLAND SOFTWARE, INC",2624633.44,3643653.25,3239268.31,4090265.07,3171982.01,3875081.06,3317348.37,4412271.93,2991966.6,4182602.09,3891159.48
FIRST REPUBLIC BANK,2127363.73,3156366.33,3065344.99,3975827.92,2899816.16,4073216.87,3877044.29,4415010.44,3761963.82,4845247.11,4415826.62
"THALES USA, INC",2697816.36,2878629.78,3020832.23,3718132.66,3173699.02,3889673.14,3550813.28,4619470.49,3793419.36,3428991.44,3101208.46
LUSH HANDMADE COSMETICS,3376419.02,3409053.01,3000546.91,4456255.63,3670737.61,3193305.09,3719779.43,3345309.19,3138679.71,3847833.61,3231810.53
"MONEYGRAM PAYMENT SYSTEMS, INC.",2890291.54,4048834.5,3755239.32,3198663.23,2971876.82,4211469.36,3549236.96,3350044.27,3334396.1,4016041.55,2740569.24
MOMENTIVE PERFORMANCE MATERIALS INC.,3429571.74,4150152.91,2896680.83,3130827.64,2784860.01,3487518.92,3556830.43,4078263.46,3763190.59,4841482.11,4691812.1
THE GREENBRIER COMPANIES INC,2323163.53,3044854.84,2510212.48,3174303.94,3769098.95,4113352.15,3970383.23,4299663.84,4069839.22,4463458.96,4469689.62
"ARKEMA, INC",3069451.15,3768568.33,3337749.53,3559528.77,3167881.16,3811391.64,3323679.64,3935405.62,3282029.38,3846364.74,3510829.83
GEA NORTH AMERICA INC.,3005762.46,2850168.8,2772351.92,3041302.97,3375763.17,3781284.42,3697051.02,4091702.46,4594656.92,5334555.49,5333766.26
"SONOS, INC",3151180.7,3879757.38,3818385.96,4712641.78,4297892.26,2214174.32,3066289.11,2810130.87,3170904.82,4161961.41,4074578.88
"ENDOLOGIX, INC.",2681836.18,3475231.3,2982142.09,3467643.56,3246737.43,4191003.26,3821167.59,3861984.6,3313612.9,3681009.68,2847030.47
"PINNACLE FOODS GROUP, LLC",2326325.24,3023152.55,3183187.45,3449467.98,2866385.49,3862816.2,4999345.13,3982972.95,3301980.95,4027581.08,3251950.85
VCA INC.,2676574.99,2869893.45,2984748.13,3447359.22,3560137.32,3876396.52,3601914.27,4014789.24,3832739.52,4403495.61,3622119.22
"ABIOMED, INC.",2560282.92,2766211.51,2769958.95,3073224.35,3145190.99,3536580.19,4123043.51,4078696.49,4806503.06,4194055.45,4966882.05
"LION RE:SOURCES, INC.",3580385.09,3941936.31,2954398.05,3553027.67,3416754.34,4069923.57,2925653.78,2832745.34,3486709.48,4064914.9,2578117.95
"ZF NORTH AMERICA, INC.",3584087,3973127.94,3641477.82,3696136.79,3240512.32,3320637.11,3057056.43,3303500.86,2919152.3,3534959.65,3185216.16
CRANE CO.,3432462.14,3711057.36,2994054.58,3172788.3,3312537.66,3853946.55,3475376.45,3329152.87,3429062.38,3893233.47,3407287.14
PELLA CORPORATION,3062982.26,3137696.26,3043087.69,3746610.08,3397311.63,3733373.66,3435906.1,3380319.81,3750932.8,3685082.23,3551241.59
VILLANOVA UNIVERSITY IN THE STATE OF PENNSYLVANIA,2145956.26,4127979.66,2743932.48,3135818.52,3927309.47,4508603.6,2695694.36,3388240.35,3997435.43,4967580.54,2908531.31
VISTEON,4105117.53,4468867.29,4230121.21,3896418.01,2678016.93,2774784.09,2441567.84,3139045.09,2929270.75,2499941.35,2622264.34
NEXTEER AUTOMOTIVE CORPORATION,2688125.27,3819936.14,3777645.35,3340981.07,3146251.47,3249654.05,3407588.3,3545110.83,3687760.52,4184212.9,3679076.24
NATUS MEDICAL,2412253.93,2386004.01,2484383.16,3131218.08,3447246.85,3829324.91,4114931.35,4232234.67,4589920.21,5332353.38,5121897.39
"C&W SERVICES, INC.",3165472.81,3598865.15,3353562.78,3300623.52,3225722.23,3591346.09,4188242.85,3707004.52,2439624.74,2850485.61,2726642.39
DIC CORPORATION,2800802.46,3205979.55,2926890.23,3802204.34,3087331.69,3624975.14,3560757.42,4090208.3,3451236.62,3961092.38,3702187.88
NEW MARKET SERVICES CORP,2541463.61,2826783.41,2396662.44,3012680.91,2190917.73,3547822.98,5022594.41,4661705.27,4318641.16,4125750.4,4255329.26
THE FIKE CORPORATION,3720776.69,3599298.72,3557674.33,3753032.5,3477821.18,3061300.62,3262219.52,3074593.27,2964761.16,2991563.96,3388499.94
ST. JOSEPH HEALTH SYSTEM,2681183.34,3486511.6,2757186.48,3503051.76,3133719.5,4223939.21,3279156.01,4104443.46,3300372.38,4316216.09,3292484.27
BARRY CALLEBAUT SERVICES,2607306.42,2565608.54,2732472.29,3016300.22,3391694.25,4042360.12,3831448.93,4195937.69,4056517.46,4289694.77,4380068.87
"CARS.COM, LLC",3109062.9,3574694.22,3538873.82,4448080.94,3290370.69,3907327.49,2897858.74,3010323.19,2591032.56,2864479.31,2662062.75
"MARVELL SEMICONDUCTOR, INC.",4438754.13,4372066.82,4078622.26,3886892.22,3166675.9,2829607.93,2368160.65,2626887.18,2567788.51,2321815.9,2334743.42
ALEXANDER PROUDFOOT COMPANY,3286715.36,4216397.51,3473249.09,3576776.93,3233845.97,3384626.18,3330623.43,2839700.53,2992961.21,2727120.1,1952127.31
ESSENTIA HEALTH,2431265.06,3171400.23,2138761.53,2795979.17,2723427.5,4938121.14,3306866.13,4523851.36,4267424.7,4427834.77,3172386.26
VEOLIA WATER (VWS NORTH AMERICA),3671085.92,4024899.16,3553594.2,3854122.77,3189402.84,3139469.34,2882285.1,3184718.02,2739798.37,3134880.28,2854070.31
TRUVEN HEALTH ANALYTICS INC.,2739778.24,3621121.55,3400876.16,3585300.9,3144050.59,3900893.23,3328100.97,3689160.74,2793582.47,3400889.69,2665858.63
"CATALENT PHARMA SOLUTIONS, INC.",2570776.6,2725004.38,2935223.92,3404475.41,3256480.38,3330555.89,3868285.64,4269981.26,3819622.95,2834122.23,2695687.64
"DROPBOX, INC.",3579040.25,3844454.17,3828612.18,5006677.8,2983194.31,2519489.67,3088473.82,3199011.53,2130090.76,3006149.13,2854387.35
EMPLOYMENT SOLUTIONS MANAGEMENT INC.,1676104.62,2051899.38,2943683.78,4148271.45,3881168.69,4416593.77,3874203.18,3798457.66,3363172.13,3966322.67,4121566.51
BUZZFEED,2409839.82,3298224.9,3715352.34,3281083.09,3368826.65,3313702.79,2565934.95,3213897.59,4968695.1,3963847.82,4961267
IDEO LLC,1874090.1,3592563.08,3176565.52,4144705.83,2865086.45,3895829.86,3086383.79,3941137.71,3550518.37,3817625.4,3671422.13
ZOLL LIFECOR CORPORATION,2523532.42,2835484.66,2934604.06,3292162.39,3164459.59,3599376.68,3738274.99,4078939.61,3906192.49,4063778.44,4441804.07
THE MEDICINES COMPANY - US,3291050.61,3872296.14,4067907.68,4257605.71,3588784.42,3719220,2476518.14,2495219.75,2203441.68,2239953.33,1739208.18
SPIRENT COMMUNICATIONS,3145612.1,3761389,3351629.95,3571838.27,2898158.28,3610332.71,3357274.18,3448505.85,2774276.03,3244465.55,3044853.99
OTICON A/S,2033168.65,2691016.74,2696612.28,3086398.88,2797211.98,4153983.78,3579216.62,4437368.55,4441594.08,5653312.78,5403874.2
JM FAMILY ENTERPRISES,3032943.46,3351559.82,3117781.46,3182866.38,3103448.33,3728447.82,3395759.82,3576132.99,3395479.67,3957816.21,3381391.22
"NATERA, INC.",1871887.87,3316184.34,3085695.95,3670702.72,2896592.8,3411627.09,3523926.27,4552972.62,3552786.08,3886009.55,3558826.48
BECHTEL MARINE PROPULSION CORPORATION,2478757.99,3474520.48,3186358.35,3344293.21,2584848.72,3407239.07,4061879.79,3868256.72,3418564.46,4128039.86,3974864.81
ARYZTA-AG,3762001.71,3872215.94,3558963.96,3984898.29,2952695.8,2894229.93,2504470.85,3354868.44,2935720.71,3446047.84,3503519.14
"THE LEUKEMIA AND LYMPHOMA SOCIETY, INC",2422297.15,4132153.06,2019099.68,2688750.27,2026783.78,4778093.49,3539083.24,3742402.93,4340569.89,6284050.1,3421706.1
INFORMATION RESOURCES,2786140.38,3251626.91,3105871.37,3055364.36,3031566.25,3898095.29,3669928.56,3356192.57,3515651.84,4132540.59,2847851.33
SANMINA CORPORATION,2873151.74,3282391.46,3163174.96,3463692.82,3246380.89,3714744.52,3304211.86,3575946.19,3027067.66,3341082.26,3109744.7
"BEMIS COMPANY, INC",3133264.74,3550401.63,3378870.12,3489357.16,2824596.16,3467409.54,2978948.86,3707263.2,2955054.7,3338142.72,3235666.06
PRIME THERAPEUTICS LLC,3929954.09,3660448.76,4153777.58,4264532.78,2864021.37,2622629.05,2382647.82,2959074.47,2634378.46,3034146.45,2721182.18
SUMITOMO MITSUI BANKING CORPORATION,2896086.2,3842938.77,2899003.77,3538215.98,3077848.31,3456593.65,2709086.57,3439949.89,3594694.04,4158448.87,3521186.49
ACEHARDWARE,2845840.64,3438968.2,3393952.77,3314734.06,3433934.91,3145340.74,3383211.16,3165562.55,3327958.81,3185141.78,3705316.74
CROWLEY MARITIME CORPORATION,2899429.36,3495280.37,3427607.14,3160822.92,3032492.19,3594427.41,3268233.16,3368752.45,3172029.41,3615125.15,3013225.74
SEVERN TRENT WATER,4770417.75,3359625.37,3392614.34,4209512.04,3553713.54,2577668.49,2324490.57,2560829.27,2546986.18,1905825.09,2226287.15
HFF,2507854,3179283.92,2583489.7,3718870.45,3439596.06,3329763.56,3128892.82,3942248.28,3423403.3,4144102.05,3119763.67
FLIGHT OPTIONS,2553259.51,2878701.79,3414006.27,3148197.94,3434811.74,3395492.28,3524512.75,3213509.27,3515554.66,3254884.64,3948771.31
HIG CAPITAL MANAGEMENT INC,3144151.49,2813020.47,3272363,2987643.12,3321935.77,3210345.18,3208001.25,3428593.9,3570092.98,3701823.05,3370571.22
CONMED CORPORATION,3074796.38,3499066.29,2988808.61,3225387.96,2937971.89,3666074.32,3335012.38,3227242.18,2993362.74,3414294.09,3194631.12
"LUTRON ELECTRONICS CO, INC.",2919776.04,3208290.4,2817917.6,3551253.21,2777091.02,3291580.7,3472990.56,3735614.77,3145058.83,3701071.35,3410240.35
LANXESS CORPORATION,3633224.36,2983415.02,2903156.89,3914553.49,2879292.08,3106221.88,3055137.34,3761645.79,2595682.97,3001727.45,2633004.73
"LAIRD TECHNOLOGIES, INC",3163489.5,3609647.25,2904830.49,3180312.28,3675841.83,3729350.66,3092911.57,2701241.57,2741753.74,3474023.14,3196750.74
"BENTLEY SYSTEMS, INCORPORATED",2517401.44,3117484.04,2749637.28,3306562.48,2720488.85,3431933.34,3452095.3,4014255.76,3464670.91,3837460.99,3326518.88
EDF RENEWABLE ENERGY,2706249.19,3293386.04,3086978.16,3598164.69,2498561.08,3631539.07,3283542.83,3653389.14,2995784.46,3417086.57,3178388.02
AVERY DENNISON CORPORATION,4223205.9,4046963.15,3398520.2,3137221.09,2942543.92,3203293.37,2273759.62,2360815.97,3050269.34,2892108.96,2598913.63
FELD ENTERTAINMENT,3968258.4,3436353.02,3131028.94,3546439.07,3599494.22,3023263.53,2726344.89,2272238.11,2926720.33,3159975.54,2094116.68
"MEDIVATION, INC.",2442275.38,2939373.73,3216822.39,3234996.08,3406009.33,3943286.84,3899950.83,3362046.75,2162848.85,2076668.05,1761549.73
ESSENDANT CO.,2511254.98,2975785.16,4022789.35,3522212.44,2993669.73,3244223.38,3200172.78,3131703.9,3001845.99,4361550.53,4022792.23
"CSM BAKERY PRODUCTS NA, INC.",2621168.02,3867587.86,4042987.37,3708953.89,3235115.68,3715812.62,2838611.13,2165689.8,2398344.51,2497471.47,1936818.64
B BRAUN MEDICAL INC.,2570150.3,3332813.67,3018544.81,3432143.75,2947607.9,3536458.13,3195408.08,3602964.98,2950411.52,3703421.51,3359877.26
MORNEAU SHEPELL LTD.,3995959.26,3492297.76,2753831.27,3842849.98,2739221.98,3395788.61,2612710.2,3142289.84,2588124.78,3326719.23,2927580.47
"STANDARDAERO AVIATION HOLDINGS, INC.",2580821.91,3300507.48,3137840.98,3988201.67,2978007.61,3324198.43,2991611.14,3588462.95,2611906.52,3545162.26,3152295.27
ERIE INDEMNITY COMPANY,2517376.19,3639020.65,2788459.83,3656794.11,2545724.67,3566461.81,3306228.95,3994343.83,2460433.17,3696890.01,3435524.18
"PRA GROUP, INC.",3063481.69,3310889.25,2537925.53,3705127.38,3022088.59,3408528.73,3277459.6,3583827.79,2547455.82,2359108.25,3832704.86
"WESTFIELD, LLC",2472505.68,2709493.02,2751350.14,3139828.33,3080398.94,3167803.04,3580680.76,3748027.97,3792923.66,3846090.71,2816655.94
"GENESCO, INC.",3328286.56,3396810.3,3430829.21,3317462.03,3116830.85,2776655.06,2916449.21,3074965.67,2971122.88,3080586.54,2871452.54
UNIVERSITY OF SAN FRANCISCO,2866557.47,4746003.01,2363286.26,3571443.63,2554807.78,4638294.97,1856278.45,3039714.9,2662090.17,5235878.46,1233971.21
"NICE SYSTEMS, INC",2776571.52,3099476.33,3281864.23,3200856.17,2438727.7,3061192.11,3340791.01,3868883.22,3215972.17,3798022.3,3853529.34
GOLDCORP INC,2240733.56,2809582.51,3495733.43,4663206.35,2235105.19,3222294.79,2768415.11,3718508.24,3099463.42,3621231.11,3730990.49
MSCI INC.,2409171.82,2744217.19,2906184.98,4107715.3,2630222.53,3326116.67,3250684.62,3987760.49,2841429.35,3504639.25,3726823.2
PLEXUS CORP,2934671.06,3409368.49,3386556.8,3088616.03,2744659.55,3096888.24,3570319.78,3173717.9,2774883.95,3698366.49,4848930.31
"COOPER-STANDARD AUTOMOTIVE, INC.",2885632.29,3135517.66,3080401.2,2729321.72,2994402.14,3346323.85,3341550.04,3626747.45,2992541.81,4249661.46,4069021.24
SSI (U.S.) INC.,3110253.97,3457465.02,3555581.87,2768691.07,3110720.48,3132255.67,3454223.39,2782430.85,2743680.47,3005328.06,3522158.85
BDO SERVICES LTD,1487766.91,2934719.13,2370418.52,2857244.26,3181543.07,3938943.26,3252434.82,3791920.51,4200009.97,3847917.15,3380793.75
"PRIVATEBANCORP, INC",2045787.36,3334236.17,3121895.13,3539305.04,2412525.27,3262850.94,3439383.76,4003766.5,2824119.76,4213454.79,2965616.52
"MERZ NORTH AMERICA, INC.",3123321.63,3037012,3283125.44,3790424.35,3242304.97,3180348.53,2588486.68,3037913.75,2676932.92,3223018.86,3053672.06
